title,year,genres,description,language,poster_url,combined
(500) Days of Summer,2009,"Comedy,Drama,Romance","An offbeat romantic comedy about a woman who doesn't believe true love exists, and the young man who falls for her.",,https://image.tmdb.org/t/p/w500/qXAuQ9hF30sQRsXf40OfRVl0MJZ.jpg,"(500) Days of Summer An offbeat romantic comedy about a woman who doesn't believe true love exists, and the young man who falls for her. Comedy,Drama,Romance"
10 Cloverfield Lane,2016,"Drama,Horror,Mystery","After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack.",,https://image.tmdb.org/t/p/w500/84Dhwz93vCin6T1PX6ctSvWEuNE.jpg,"10 Cloverfield Lane After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack. Drama,Horror,Mystery"
10 Years,2011,"Comedy,Drama,Romance","The night before their high school reunion, a group of friends realize they still haven't quite grown up in some ways.",,https://image.tmdb.org/t/p/w500/AuCM5jU751cMLKOtHybzUoL6RaX.jpg,"10 Years The night before their high school reunion, a group of friends realize they still haven't quite grown up in some ways. Comedy,Drama,Romance"
12 Years a Slave,2013,"Biography,Drama,History","In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",,https://image.tmdb.org/t/p/w500/xdANQijuNrJaw1HA61rDccME4Tm.jpg,"12 Years a Slave In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Biography,Drama,History"
127 Hours,2010,"Adventure,Biography,Drama","An adventurous mountain climber becomes trapped under a boulder while canyoneering alone near Moab, Utah and resorts to desperate measures in order to survive.",,https://image.tmdb.org/t/p/w500/h0RMdn0rfl9l5hWXz3tUh6QVkhi.jpg,"127 Hours An adventurous mountain climber becomes trapped under a boulder while canyoneering alone near Moab, Utah and resorts to desperate measures in order to survive. Adventure,Biography,Drama"
13 Hours,2016,"Action,Drama,History","During an attack on a U.S. compound in Libya, a security team struggles to make sense out of the chaos.",,https://image.tmdb.org/t/p/w500/AskDcQ6Sa6jImyt2KDQbgRuPebH.jpg,"13 Hours During an attack on a U.S. compound in Libya, a security team struggles to make sense out of the chaos. Action,Drama,History"
1408,2007,"Fantasy,Horror","A man who specializes in debunking paranormal occurrences checks into the fabled room 1408 in the Dolphin Hotel. Soon after settling in, he confronts genuine terror.",,https://image.tmdb.org/t/p/w500/yE9MCW7ZNxSw5SC1TMqm51pMBIV.jpg,"1408 A man who specializes in debunking paranormal occurrences checks into the fabled room 1408 in the Dolphin Hotel. Soon after settling in, he confronts genuine terror. Fantasy,Horror"
17 Again,2009,"Comedy,Drama,Family",Mike O'Donnell is ungrateful for how his life turned out. He gets a chance to rewrite his life when he tried to save a janitor near a bridge and jumped after him into a time vortex.,,https://image.tmdb.org/t/p/w500/yEcfFXEWpuXcfsR9nKESVCFneqV.jpg,"17 Again Mike O'Donnell is ungrateful for how his life turned out. He gets a chance to rewrite his life when he tried to save a janitor near a bridge and jumped after him into a time vortex. Comedy,Drama,Family"
2012,2009,"Action,Adventure,Sci-Fi",A frustrated writer struggles to keep his family alive when a series of global catastrophes threatens to annihilate mankind.,,https://image.tmdb.org/t/p/w500/c2PkTPT5D9zB8SIm5wNlDAANEqM.jpg,"2012 A frustrated writer struggles to keep his family alive when a series of global catastrophes threatens to annihilate mankind. Action,Adventure,Sci-Fi"
20th Century Women,2016,"Comedy,Drama","The story of a teenage boy, his mother, and two other women who help raise him among the love and freedom of Southern California of 1979.",,https://image.tmdb.org/t/p/w500/mso2rEr9i0MilRIOao5HaWFipS9.jpg,"20th Century Women The story of a teenage boy, his mother, and two other women who help raise him among the love and freedom of Southern California of 1979. Comedy,Drama"
21,2008,"Crime,Drama,Thriller","""21"" is the fact-based story about six MIT students who were trained to become experts in card counting and subsequently took Vegas casinos for millions in winnings.",,https://image.tmdb.org/t/p/w500/efG8Po57alqSlhqHU1lXJ3duG6t.jpg,"21 ""21"" is the fact-based story about six MIT students who were trained to become experts in card counting and subsequently took Vegas casinos for millions in winnings. Crime,Drama,Thriller"
21 Jump Street,2012,"Action,Comedy,Crime",A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring.,,https://image.tmdb.org/t/p/w500/8v3Sqv9UcIUC4ebmpKWROqPBINZ.jpg,"21 Jump Street A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring. Action,Comedy,Crime"
22 Jump Street,2014,"Action,Comedy,Crime","After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college.",,https://image.tmdb.org/t/p/w500/850chzYHYbT3IISl6Q7dbBuFP2B.jpg,"22 Jump Street After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college. Action,Comedy,Crime"
2307: Winter's Dream,2016,Sci-Fi,"In 2307, a future soldier is sent on a mission to hunt down the leader of the humanoid rebellion.",,https://image.tmdb.org/t/p/w500/hMEYVCklgfmQziL573tZGtOFH34.jpg,"2307: Winter's Dream In 2307, a future soldier is sent on a mission to hunt down the leader of the humanoid rebellion. Sci-Fi"
28 Weeks Later,2007,"Drama,Horror,Sci-Fi","Six months after the rage virus was inflicted on the population of Great Britain, the US Army helps to secure a small area of London for the survivors to repopulate and start again. But not everything goes to plan.",,https://image.tmdb.org/t/p/w500/oix0aNv1lvW3nUGspUyvSIBlpbs.jpg,"28 Weeks Later Six months after the rage virus was inflicted on the population of Great Britain, the US Army helps to secure a small area of London for the survivors to repopulate and start again. But not everything goes to plan. Drama,Horror,Sci-Fi"
3 Days to Kill,2014,"Action,Drama,Thriller",A dying CIA agent trying to reconnect with his estranged daughter is offered an experimental drug that could save his life in exchange for one last assignment.,,https://image.tmdb.org/t/p/w500/8xOH2JhBHPmk2ZCniBpWhiZ6xeC.jpg,"3 Days to Kill A dying CIA agent trying to reconnect with his estranged daughter is offered an experimental drug that could save his life in exchange for one last assignment. Action,Drama,Thriller"
3 Idiots,2009,"Comedy, Drama",Two friends search for their lost companion and revisit their college memories.,Hindi,https://image.tmdb.org/t/p/w342/66A9MqXOyVFCssoloscw79z8Tew.jpg,"3 Idiots Two friends search for their lost companion and revisit their college memories. Comedy, Drama"
300,2006,"Action,Fantasy,War",King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.,,https://image.tmdb.org/t/p/w500/h7Lcio0c9ohxPhSZg42eTlKIVVY.jpg,"300 King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C. Action,Fantasy,War"
300: Rise of an Empire,2014,"Action,Drama,Fantasy","Greek general Themistokles leads the charge against invading Persian forces led by mortal-turned-god Xerxes and Artemisia, vengeful commander of the Persian navy.",,https://image.tmdb.org/t/p/w500/wYDdWN1McB1Sio4z1dPSkb40Z78.jpg,"300: Rise of an Empire Greek general Themistokles leads the charge against invading Persian forces led by mortal-turned-god Xerxes and Artemisia, vengeful commander of the Persian navy. Action,Drama,Fantasy"
